Timestamp,Packet #,Distance,RSSI,Smoothed RSSI,Loss Rate,Throughput,Temp BME280,Temp DS18B20,Pressure,Altitude,Velocity X,Velocity Y,Velocity Z,Accel X,Accel Y,Accel Z
2026-03-20 16:43:48.341,24.0,0.024,-19.0,-23.5965,0.0,0.384,26.69,26.5625,800.0103,1229.6831,0.7874,0.2342,-254.2789,0.0655,-0.0248,-9.8197
2026-03-20 16:43:49.110,25.0,0.0211,-18.0,-22.4772,0.0,0.384,26.7,26.625,800.0502,1229.3091,0.9147,0.2984,-264.3937,0.1493,-0.0141,-9.3694
2026-03-20 16:43:50.221,26.0,0.019,-18.0,-21.5818,0.0,0.384,26.7,26.625,800.0532,1229.2808,0.9683,0.2884,-274.5892,0.026,-0.0081,-9.7909
2026-03-20 16:43:51.220,27.0,0.0183,-20.0,-21.2654,0.0,0.384,26.7,26.6875,800.07,1229.1232,1.0134,0.3036,-284.7273,-0.0129,0.0261,-9.752
2026-03-20 16:43:52.205,28.0,0.0178,-20.0,-21.0124,0.0,0.384,26.71,26.6875,800.0477,1229.3329,1.0705,0.3296,-294.8452,0.0906,0.0177,-9.7191
2026-03-20 16:43:53.058,29.0,0.0182,-22.0,-21.2099,0.0,0.384,26.7,26.625,800.0435,1229.3726,1.1347,0.393,-305.0269,-0.0315,0.0129,-9.7221
2026-03-20 16:43:54.365,30.0,0.0186,-22.0,-21.3679,0.0,0.384,26.7,26.625,800.0012,1229.7693,1.1442,0.4146,-315.1541,-0.0908,0.0811,-9.8035
2026-03-20 16:43:55.132,31.0,0.0184,-21.0,-21.2943,0.0,0.384,26.71,26.75,800.0472,1229.3374,1.2033,0.4419,-325.3179,-0.0578,0.0027,-10.0406
2026-03-20 16:43:56.284,32.0,0.0191,-23.0,-21.6355,0.0,0.384,26.72,26.625,800.0316,1229.4843,1.2638,0.4787,-335.4469,0.0966,0.0476,-9.8346
2026-03-20 16:43:57.543,33.0,0.0193,-22.0,-21.7084,0.0,0.384,26.72,26.625,800.0281,1229.516,1.2826,0.4646,-345.5566,0.1236,0.0153,-9.861
2026-03-20 16:43:58.386,34.0,0.019,-21.0,-21.5667,0.0,0.384,26.72,26.625,800.0452,1229.3562,1.3821,0.486,-355.6585,0.0176,0.0309,-9.7879
2026-03-20 16:43:59.277,35.0,0.0187,-21.0,-21.4534,0.0,0.384,26.72,26.625,800.0302,1229.4973,1.4493,0.4874,-365.8069,0.0978,0.0512,-9.7616
2026-03-20 16:44:00.330,36.0,0.0185,-21.0,-21.3627,0.0,0.384,26.72,26.625,800.0569,1229.2456,1.5112,0.483,-375.9739,0.0577,0.0602,-9.7825
2026-03-20 16:44:01.459,37.0,0.018,-20.0,-21.0902,0.0,0.384,26.72,26.625,800.0217,1229.576,1.5701,0.486,-386.1234,0.0397,-0.0165,-9.8089
2026-03-20 16:44:02.601,38.0,0.0175,-20.0,-20.8721,0.0,0.384,26.71,26.5625,800.0422,1229.3845,1.6377,0.4959,-396.2711,0.0272,-0.0218,-9.8783
2026-03-20 16:44:03.519,39.0,0.0176,-21.0,-20.8977,0.0,0.384,26.72,26.5625,800.0399,1229.4054,1.679,0.4987,-406.4351,-0.0363,0.0704,-9.8706
2026-03-20 16:44:04.574,40.0,0.0172,-20.0,-20.7182,0.0,0.384,26.72,26.5625,800.0111,1229.6758,1.704,0.5393,-416.687,0.0374,0.0195,-9.7556
2026-03-20 16:44:05.762,41.0,0.0169,-20.0,-20.5745,0.0,0.384,26.72,26.5625,800.02,1229.5925,1.7334,0.5526,-426.864,0.1631,0.0171,-9.7472
2026-03-20 16:44:06.703,42.0,0.0171,-21.0,-20.6596,0.0,0.384,26.73,26.625,800.0511,1229.3,1.7967,0.5681,-437.004,0.0122,0.0512,-9.7879
2026-03-20 16:44:07.519,43.0,0.0172,-21.0,-20.7277,0.0,0.384,26.73,26.625,800.0675,1229.1465,1.8492,0.5591,-447.1373,0.0619,-0.0703,-9.7418
2026-03-20 16:44:08.720,44.0,0.0173,-21.0,-20.7822,0.0,0.384,26.74,26.6875,800.0319,1229.4814,1.8982,0.5644,-457.2895,0.0876,0.0069,-9.9101
2026-03-20 16:44:09.749,45.0,0.017,-20.0,-20.6257,0.0,0.384,26.73,26.6875,800.0375,1229.4287,2.0293,0.5953,-467.3376,0.0302,0.0165,-9.855
2026-03-20 16:44:10.821,46.0,0.0168,-20.0,-20.5006,0.0,0.384,26.74,26.6875,800.0034,1229.7489,2.0969,0.5968,-477.4839,0.0278,0.0476,-9.8508
2026-03-20 16:44:11.786,47.0,0.017,-21.0,-20.6005,0.0,0.384,26.73,26.625,800.0092,1229.694,2.1642,0.6248,-487.6447,0.099,0.0093,-9.9035
2026-03-20 16:44:12.689,48.0,0.0171,-21.0,-20.6804,0.0,0.384,26.72,26.6875,800.0167,1229.6237,2.2347,0.6302,-497.7767,0.0775,0.1135,-9.7831
2026-03-20 16:44:13.936,49.0,0.0173,-21.0,-20.7443,0.0,0.384,26.71,26.625,800.0206,1229.5874,2.2945,0.6549,-507.9412,0.0308,0.1129,-9.831
2026-03-20 16:44:14.816,50.0,0.0209,-29.0,-22.3954,0.0,0.384,26.71,26.5625,800.0309,1229.4899,2.3483,0.6713,-518.0987,0.0547,0.0793,-9.8502
2026-03-20 16:44:16.017,51.0,0.0238,-28.0,-23.5164,0.0,0.384,26.71,26.625,800.0494,1229.317,2.4238,0.6894,-528.2109,0.0673,-0.0194,-9.8424
2026-03-20 16:44:16.921,52.0,0.0276,-30.0,-24.8131,0.0,0.384,26.71,26.625,800.0489,1229.3215,2.4915,0.704,-538.3801,0.0841,-0.0434,-9.8029
2026-03-20 16:44:18.152,53.0,0.0265,-23.0,-24.4505,0.0,0.384,26.71,26.625,800.0259,1229.5375,2.5399,0.7316,-548.5585,0.0835,-0.0141,-9.8742
2026-03-20 16:44:18.883,54.0,0.0262,-24.0,-24.3604,0.0,0.384,26.71,26.625,800.0172,1229.6185,2.5881,0.7624,-558.715,0.0966,-0.0488,-9.7059
2026-03-20 16:44:20.298,55.0,0.0242,-21.0,-23.6883,0.0,0.384,26.7,26.625,800.0381,1229.4219,2.6509,0.7906,-568.848,0.1379,0.0207,-9.8203
2026-03-20 16:44:21.130,56.0,0.0228,-21.0,-23.1506,0.0,0.384,26.71,26.625,800.0427,1229.38,2.7137,0.7973,-578.9713,0.038,0.0063,-9.6269
2026-03-20 16:44:22.016,57.0,0.0217,-21.0,-22.7205,0.0,0.384,26.71,26.625,800.0186,1229.6055,2.7716,0.7896,-589.0923,0.0865,0.0225,-9.752
2026-03-20 16:44:23.181,58.0,0.0208,-21.0,-22.3764,0.0,0.384,26.72,26.6875,800.0334,1229.4661,2.8441,0.808,-599.2274,0.0811,0.0249,-9.7885
2026-03-20 16:44:24.149,59.0,0.018,-16.0,-21.1011,0.0,0.384,26.71,26.6875,800.0237,1229.5579,2.9026,0.8194,-609.3599,0.0463,0.0279,-9.8568
2026-03-20 16:44:25.307,60.0,0.0171,-19.0,-20.6809,0.0,0.384,26.72,26.625,800.0251,1229.5449,2.9927,0.8138,-619.5338,0.0906,-0.0308,-9.9089
2026-03-20 16:44:26.219,61.0,0.0165,-19.0,-20.3447,0.0,0.384,26.71,26.625,800.0287,1229.5103,3.0662,0.8165,-629.6692,0.1314,-0.0015,-9.8909
2026-03-20 16:44:27.382,62.0,0.0156,-18.0,-19.8758,0.0,0.384,26.72,26.625,800.0783,1229.045,3.1417,0.8208,-639.8257,0.1236,0.0099,-9.7789
